#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.021450  0.470589  0.002898
     911  0.021323  0.470398  0.002906
     921  0.021282  0.470164  0.002912
     931  0.021082  0.469692  0.002920
     941  0.021291  0.469481  0.002928
     951  0.021376  0.469336  0.002937
     961  0.021391  0.469246  0.002944
     971  0.021440  0.469249  0.002950
     981  0.021512  0.469236  0.002956
     991  0.021471  0.469240  0.002960
     901  0.063324  0.539397  0.028906
     911  0.063475  0.538982  0.028926
     921  0.063458  0.538723  0.028910
     931  0.063459  0.538573  0.028872
     941  0.063467  0.538404  0.028843
     951  0.063266  0.538215  0.028827
     961  0.062841  0.537922  0.028819
     971  0.062567  0.537612  0.028809
     981  0.062130  0.537194  0.028808
     991  0.061689  0.536673  0.028817
    2701  0.374032  0.666550  0.001873
    2711  0.374023  0.666550  0.001869
    2721  0.374018  0.666551  0.001865
    2731  0.374009  0.666551  0.001861
    2741  0.373991  0.666551  0.001857
    2751  0.373983  0.666551  0.001853
    2761  0.373969  0.666552  0.001849
    2771  0.373951  0.666552  0.001845
    2781  0.373926  0.666552  0.001841
    2791  0.373904  0.666552  0.001838
    2801  0.373880  0.666553  0.001835
    2811  0.373862  0.666553  0.001832
    2821  0.373843  0.666553  0.001829
    2831  0.373821  0.666553  0.001826
    2841  0.373805  0.666553  0.001824
    2851  0.373795  0.666553  0.001821
    2861  0.373791  0.666554  0.001818
    2871  0.373782  0.666554  0.001816
    2881  0.373767  0.666554  0.001813
    2891  0.373760  0.666554  0.001811
    2901  0.373756  0.666554  0.001808
    2911  0.373744  0.666554  0.001806
    2921  0.373742  0.666554  0.001804
    2931  0.373742  0.666555  0.001802
    2941  0.373747  0.666555  0.001800
    2951  0.373744  0.666555  0.001798
    2961  0.373739  0.666555  0.001796
    2971  0.373729  0.666555  0.001794
    2981  0.373724  0.666555  0.001791
    2991  0.373715  0.666555  0.001789
