#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.021975  0.432061  0.003452
     911  0.021813  0.431836  0.003445
     921  0.021839  0.431893  0.003435
     931  0.021744  0.431726  0.003428
     941  0.021738  0.431469  0.003425
     951  0.021635  0.431170  0.003419
     961  0.021652  0.431069  0.003412
     971  0.021561  0.430917  0.003405
     981  0.021547  0.430835  0.003397
     991  0.021551  0.430657  0.003391
     901  0.069469  0.531751  0.033552
     911  0.069666  0.532757  0.033363
     921  0.069613  0.533712  0.033176
     931  0.069522  0.534599  0.032991
     941  0.069461  0.535434  0.032808
     951  0.069483  0.536285  0.032613
     961  0.069405  0.537100  0.032416
     971  0.069343  0.537876  0.032223
     981  0.069026  0.538525  0.032050
     991  0.068934  0.539129  0.031881
    2701  0.024073  0.441721  0.004468
    2711  0.024052  0.441900  0.004464
    2721  0.024052  0.442078  0.004460
    2731  0.024091  0.442292  0.004455
    2741  0.024056  0.442489  0.004451
    2751  0.024035  0.442677  0.004447
    2761  0.024098  0.442906  0.004443
    2771  0.023999  0.443081  0.004440
    2781  0.023941  0.443230  0.004438
    2791  0.023936  0.443389  0.004435
    2801  0.023959  0.443498  0.004433
    2811  0.023924  0.443585  0.004432
    2821  0.023947  0.443635  0.004431
    2831  0.023934  0.443690  0.004430
    2841  0.023935  0.443755  0.004428
    2851  0.023930  0.443824  0.004427
    2861  0.024016  0.443854  0.004426
    2871  0.024002  0.443880  0.004426
    2881  0.024013  0.443914  0.004426
    2891  0.023964  0.443932  0.004425
    2901  0.023980  0.443959  0.004425
    2911  0.024006  0.443992  0.004424
    2921  0.023965  0.444015  0.004423
    2931  0.023936  0.444034  0.004422
    2941  0.023928  0.444041  0.004422
    2951  0.024011  0.444069  0.004421
    2961  0.023995  0.444100  0.004420
    2971  0.024000  0.444145  0.004419
    2981  0.023903  0.444153  0.004418
    2991  0.023937  0.444174  0.004418
