#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.022413  0.410987  0.003945
     911  0.022440  0.411998  0.003941
     921  0.022398  0.412894  0.003938
     931  0.022369  0.413796  0.003932
     941  0.022164  0.414343  0.003928
     951  0.021978  0.414601  0.003923
     961  0.021910  0.414838  0.003917
     971  0.021753  0.414870  0.003912
     981  0.021673  0.414844  0.003906
     991  0.021697  0.414885  0.003900
     901  0.058266  0.515577  0.030027
     911  0.058456  0.515954  0.029924
     921  0.058718  0.516343  0.029839
     931  0.059003  0.516772  0.029765
     941  0.059419  0.517128  0.029718
     951  0.059900  0.517462  0.029695
     961  0.060485  0.517340  0.029738
     971  0.061014  0.517087  0.029811
     981  0.061386  0.516744  0.029908
     991  0.061608  0.516358  0.030012
    2701  0.370359  0.666559  0.001603
    2711  0.370334  0.666559  0.001602
    2721  0.370310  0.666559  0.001602
    2731  0.370285  0.666559  0.001602
    2741  0.370269  0.666559  0.001602
    2751  0.370243  0.666559  0.001603
    2761  0.370242  0.666559  0.001603
    2771  0.370237  0.666559  0.001604
    2781  0.370254  0.666559  0.001604
    2791  0.370272  0.666559  0.001604
    2801  0.370288  0.666559  0.001604
    2811  0.370300  0.666559  0.001604
    2821  0.370300  0.666559  0.001604
    2831  0.370300  0.666559  0.001604
    2841  0.370300  0.666559  0.001605
    2851  0.370311  0.666559  0.001604
    2861  0.370325  0.666559  0.001604
    2871  0.370342  0.666559  0.001604
    2881  0.370352  0.666559  0.001604
    2891  0.370358  0.666559  0.001604
    2901  0.370362  0.666559  0.001603
    2911  0.370378  0.666559  0.001603
    2921  0.370384  0.666559  0.001602
    2931  0.370397  0.666560  0.001602
    2941  0.370404  0.666560  0.001601
    2951  0.370423  0.666560  0.001600
    2961  0.370445  0.666560  0.001600
    2971  0.370459  0.666560  0.001599
    2981  0.370467  0.666560  0.001599
    2991  0.370485  0.666560  0.001598
