#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.021207  0.466066  0.002790
     911  0.021254  0.466545  0.002788
     921  0.021153  0.466852  0.002787
     931  0.021135  0.467192  0.002784
     941  0.021133  0.467576  0.002780
     951  0.021061  0.467903  0.002775
     961  0.020955  0.468115  0.002770
     971  0.020974  0.468387  0.002765
     981  0.020977  0.468733  0.002758
     991  0.020849  0.468942  0.002752
     901  0.060667  0.477258  0.035267
     911  0.060627  0.477741  0.035153
     921  0.060509  0.477954  0.035070
     931  0.060221  0.478100  0.035007
     941  0.060244  0.478328  0.034936
     951  0.060317  0.478644  0.034858
     961  0.060548  0.479038  0.034781
     971  0.061054  0.479517  0.034725
     981  0.061685  0.480028  0.034701
     991  0.062144  0.480489  0.034700
    2701  0.232314  0.661302  0.015868
    2711  0.232372  0.661314  0.015834
    2721  0.232452  0.661326  0.015801
    2731  0.232501  0.661337  0.015772
    2741  0.232574  0.661347  0.015744
    2751  0.232600  0.661357  0.015716
    2761  0.232617  0.661367  0.015688
    2771  0.232653  0.661378  0.015660
    2781  0.232706  0.661388  0.015633
    2791  0.232799  0.661397  0.015608
    2801  0.232910  0.661405  0.015586
    2811  0.232967  0.661413  0.015564
    2821  0.233008  0.661421  0.015542
    2831  0.233023  0.661430  0.015520
    2841  0.233065  0.661438  0.015498
    2851  0.233144  0.661446  0.015478
    2861  0.233188  0.661453  0.015458
    2871  0.233248  0.661461  0.015439
    2881  0.233233  0.661468  0.015420
    2891  0.233241  0.661474  0.015403
    2901  0.233260  0.661481  0.015387
    2911  0.233300  0.661487  0.015370
    2921  0.233327  0.661494  0.015352
    2931  0.233335  0.661501  0.015335
    2941  0.233328  0.661507  0.015317
    2951  0.233343  0.661514  0.015300
    2961  0.233302  0.661521  0.015281
    2971  0.233269  0.661528  0.015263
    2981  0.233283  0.661535  0.015245
    2991  0.233295  0.661541  0.015226
