#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.020619  0.368232  0.003465
     911  0.020631  0.369694  0.003454
     921  0.020698  0.371213  0.003444
     931  0.020655  0.372582  0.003436
     941  0.020537  0.373664  0.003431
     951  0.020548  0.374829  0.003425
     961  0.020607  0.376145  0.003416
     971  0.020628  0.377382  0.003409
     981  0.020603  0.378569  0.003402
     991  0.020684  0.379670  0.003396
     901  0.063410  0.487035  0.046887
     911  0.063199  0.487250  0.046548
     921  0.062819  0.487302  0.046222
     931  0.062653  0.487352  0.045903
     941  0.062511  0.487380  0.045602
     951  0.062453  0.487272  0.045343
     961  0.062261  0.487112  0.045115
     971  0.062117  0.486766  0.044929
     981  0.061898  0.486278  0.044785
     991  0.062013  0.485898  0.044640
    2701  0.047439  0.471595  0.019816
    2711  0.047306  0.471674  0.019799
    2721  0.047277  0.471760  0.019781
    2731  0.047297  0.471860  0.019762
    2741  0.047318  0.471966  0.019745
    2751  0.047314  0.472079  0.019728
    2761  0.047307  0.472194  0.019712
    2771  0.047187  0.472283  0.019696
    2781  0.047204  0.472379  0.019680
    2791  0.047128  0.472463  0.019664
    2801  0.047089  0.472543  0.019649
    2811  0.046988  0.472605  0.019633
    2821  0.047003  0.472668  0.019618
    2831  0.046973  0.472732  0.019602
    2841  0.046878  0.472779  0.019587
    2851  0.046775  0.472808  0.019575
    2861  0.046784  0.472828  0.019563
    2871  0.046861  0.472870  0.019551
    2881  0.046906  0.472934  0.019537
    2891  0.046974  0.473016  0.019524
    2901  0.046977  0.473107  0.019510
    2911  0.047001  0.473213  0.019495
    2921  0.046951  0.473315  0.019479
    2931  0.046916  0.473417  0.019462
    2941  0.046887  0.473512  0.019447
    2951  0.046849  0.473586  0.019435
    2961  0.046856  0.473666  0.019423
    2971  0.046805  0.473742  0.019410
    2981  0.046797  0.473820  0.019397
    2991  0.046823  0.473892  0.019385
