#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.022407  0.464701  0.003026
     911  0.022192  0.464266  0.003031
     921  0.022183  0.464024  0.003032
     931  0.022278  0.463910  0.003033
     941  0.022157  0.463720  0.003034
     951  0.022088  0.463538  0.003035
     961  0.022273  0.462892  0.003040
     971  0.022300  0.462465  0.003043
     981  0.022282  0.462115  0.003044
     991  0.022132  0.461667  0.003046
     901  0.071130  0.554720  0.033010
     911  0.070860  0.554123  0.032993
     921  0.070500  0.553516  0.032971
     931  0.070315  0.552964  0.032938
     941  0.070317  0.552488  0.032899
     951  0.070183  0.552028  0.032863
     961  0.069907  0.551559  0.032836
     971  0.069781  0.551148  0.032795
     981  0.069796  0.550703  0.032784
     991  0.069799  0.550175  0.032817
    2701  0.022621  0.439705  0.003663
    2711  0.022580  0.439613  0.003663
    2721  0.022619  0.439553  0.003664
    2731  0.022588  0.439491  0.003663
    2741  0.022532  0.439410  0.003664
    2751  0.022526  0.439334  0.003664
    2761  0.022553  0.439296  0.003664
    2771  0.022592  0.439303  0.003664
    2781  0.022662  0.439331  0.003665
    2791  0.022674  0.439345  0.003665
    2801  0.022627  0.439345  0.003666
    2811  0.022645  0.439347  0.003666
    2821  0.022612  0.439345  0.003667
    2831  0.022624  0.439358  0.003667
    2841  0.022581  0.439353  0.003667
    2851  0.022607  0.439343  0.003668
    2861  0.022515  0.439290  0.003670
    2871  0.022555  0.439242  0.003671
    2881  0.022598  0.439226  0.003672
    2891  0.022717  0.439210  0.003674
    2901  0.022760  0.439223  0.003676
    2911  0.022736  0.439235  0.003678
    2921  0.022711  0.439246  0.003679
    2931  0.022763  0.439276  0.003681
    2941  0.022733  0.439301  0.003682
    2951  0.022698  0.439318  0.003683
    2961  0.022656  0.439324  0.003684
    2971  0.022726  0.439356  0.003684
    2981  0.022733  0.439389  0.003685
    2991  0.022777  0.439446  0.003686
