#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.020591  0.417317  0.003228
     911  0.020434  0.417767  0.003226
     921  0.020500  0.418478  0.003221
     931  0.020483  0.419218  0.003215
     941  0.020476  0.419989  0.003208
     951  0.020683  0.420843  0.003203
     961  0.020680  0.421650  0.003199
     971  0.020551  0.422248  0.003193
     981  0.020434  0.422687  0.003187
     991  0.020595  0.422589  0.003186
     901  0.070141  0.495181  0.041783
     911  0.069675  0.494637  0.041860
     921  0.069126  0.493888  0.041995
     931  0.068766  0.493085  0.042122
     941  0.068572  0.492347  0.042244
     951  0.068495  0.491694  0.042343
     961  0.068179  0.491036  0.042423
     971  0.067991  0.490439  0.042473
     981  0.067583  0.489780  0.042507
     991  0.067226  0.489095  0.042526
    2701  0.309653  0.665974  0.004564
    2711  0.309646  0.665972  0.004574
    2721  0.309618  0.665971  0.004584
    2731  0.309615  0.665969  0.004593
    2741  0.309648  0.665968  0.004601
    2751  0.309662  0.665967  0.004609
    2761  0.309677  0.665966  0.004616
    2771  0.309660  0.665965  0.004622
    2781  0.309661  0.665964  0.004628
    2791  0.309642  0.665963  0.004633
    2801  0.309640  0.665963  0.004638
    2811  0.309634  0.665962  0.004642
    2821  0.309658  0.665961  0.004646
    2831  0.309690  0.665961  0.004649
    2841  0.309702  0.665961  0.004652
    2851  0.309738  0.665960  0.004654
    2861  0.309746  0.665960  0.004656
    2871  0.309756  0.665960  0.004658
    2881  0.309759  0.665959  0.004659
    2891  0.309754  0.665959  0.004660
    2901  0.309769  0.665959  0.004661
    2911  0.309766  0.665959  0.004661
    2921  0.309748  0.665959  0.004661
    2931  0.309753  0.665959  0.004661
    2941  0.309770  0.665959  0.004660
    2951  0.309757  0.665960  0.004660
    2961  0.309735  0.665960  0.004659
    2971  0.309725  0.665960  0.004658
    2981  0.309722  0.665960  0.004657
    2991  0.309725  0.665960  0.004656
