#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.022342  0.477270  0.002908
     911  0.022210  0.475937  0.002924
     921  0.022392  0.475003  0.002938
     931  0.022254  0.474054  0.002951
     941  0.022585  0.472656  0.002974
     951  0.022630  0.471569  0.002993
     961  0.022667  0.470604  0.003011
     971  0.022425  0.469425  0.003029
     981  0.022388  0.468398  0.003043
     991  0.022317  0.467366  0.003059
     901  0.060342  0.469608  0.035585
     911  0.060387  0.468806  0.035705
     921  0.060285  0.468155  0.035788
     931  0.060181  0.467634  0.035831
     941  0.059864  0.467067  0.035854
     951  0.059822  0.466655  0.035844
     961  0.059711  0.466337  0.035803
     971  0.059461  0.465997  0.035754
     981  0.059163  0.465597  0.035713
     991  0.058903  0.465175  0.035661
    2701  0.051950  0.465383  0.024940
    2711  0.051887  0.465435  0.024936
    2721  0.051826  0.465483  0.024932
    2731  0.051741  0.465518  0.024928
    2741  0.051707  0.465540  0.024925
    2751  0.051686  0.465548  0.024923
    2761  0.051682  0.465573  0.024919
    2771  0.051708  0.465609  0.024913
    2781  0.051669  0.465647  0.024907
    2791  0.051640  0.465691  0.024899
    2801  0.051577  0.465732  0.024889
    2811  0.051504  0.465767  0.024877
    2821  0.051426  0.465793  0.024864
    2831  0.051383  0.465819  0.024850
    2841  0.051345  0.465845  0.024836
    2851  0.051395  0.465887  0.024822
    2861  0.051442  0.465946  0.024807
    2871  0.051409  0.466010  0.024791
    2881  0.051403  0.466082  0.024773
    2891  0.051472  0.466157  0.024756
    2901  0.051489  0.466228  0.024740
    2911  0.051363  0.466281  0.024726
    2921  0.051306  0.466322  0.024714
    2931  0.051272  0.466361  0.024702
    2941  0.051215  0.466398  0.024689
    2951  0.051145  0.466430  0.024675
    2961  0.051128  0.466468  0.024660
    2971  0.051106  0.466509  0.024644
    2981  0.051080  0.466552  0.024629
    2991  0.051116  0.466597  0.024614
