#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.020851  0.417526  0.003403
     911  0.020879  0.417934  0.003414
     921  0.020803  0.418274  0.003422
     931  0.020772  0.418670  0.003426
     941  0.020830  0.419283  0.003428
     951  0.020889  0.420086  0.003426
     961  0.020871  0.420855  0.003424
     971  0.020964  0.421720  0.003421
     981  0.020890  0.422496  0.003418
     991  0.020732  0.423031  0.003414
     901  0.056860  0.471606  0.025864
     911  0.057787  0.472073  0.025934
     921  0.058634  0.472499  0.026066
     931  0.059234  0.472914  0.026225
     941  0.059370  0.473167  0.026383
     951  0.059854  0.473192  0.026571
     961  0.060154  0.473417  0.026734
     971  0.060332  0.473611  0.026890
     981  0.060556  0.473869  0.027036
     991  0.061082  0.474101  0.027199
    2701  0.414370  0.666649  0.000726
    2711  0.414372  0.666649  0.000725
    2721  0.414371  0.666649  0.000724
    2731  0.414368  0.666649  0.000723
    2741  0.414365  0.666649  0.000722
    2751  0.414357  0.666649  0.000721
    2761  0.414351  0.666649  0.000720
    2771  0.414350  0.666649  0.000719
    2781  0.414344  0.666649  0.000718
    2791  0.414336  0.666649  0.000717
    2801  0.414321  0.666649  0.000716
    2811  0.414312  0.666649  0.000716
    2821  0.414309  0.666649  0.000715
    2831  0.414303  0.666649  0.000714
    2841  0.414296  0.666650  0.000713
    2851  0.414293  0.666650  0.000713
    2861  0.414293  0.666650  0.000712
    2871  0.414291  0.666650  0.000711
    2881  0.414286  0.666650  0.000710
    2891  0.414282  0.666650  0.000710
    2901  0.414281  0.666650  0.000709
    2911  0.414278  0.666650  0.000708
    2921  0.414275  0.666650  0.000707
    2931  0.414273  0.666650  0.000707
    2941  0.414269  0.666650  0.000706
    2951  0.414262  0.666650  0.000705
    2961  0.414254  0.666650  0.000705
    2971  0.414254  0.666650  0.000704
    2981  0.414255  0.666650  0.000703
    2991  0.414256  0.666650  0.000702
