#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.020286  0.468043  0.002611
     911  0.020297  0.467351  0.002614
     921  0.020239  0.466770  0.002613
     931  0.020291  0.466211  0.002615
     941  0.020335  0.465909  0.002614
     951  0.020284  0.465513  0.002616
     961  0.020471  0.465066  0.002620
     971  0.020564  0.464867  0.002623
     981  0.020540  0.464700  0.002624
     991  0.020638  0.464576  0.002627
     901  0.066138  0.456589  0.052412
     911  0.066188  0.457158  0.052174
     921  0.066042  0.457687  0.051921
     931  0.066039  0.458280  0.051652
     941  0.066097  0.458858  0.051401
     951  0.066176  0.459340  0.051176
     961  0.066457  0.459656  0.050994
     971  0.066724  0.459741  0.050856
     981  0.066765  0.459846  0.050718
     991  0.066900  0.459812  0.050606
    2701  0.256668  0.664186  0.009288
    2711  0.256614  0.664188  0.009279
    2721  0.256525  0.664189  0.009271
    2731  0.256471  0.664191  0.009263
    2741  0.256451  0.664192  0.009256
    2751  0.256478  0.664194  0.009249
    2761  0.256479  0.664196  0.009241
    2771  0.256468  0.664198  0.009233
    2781  0.256474  0.664199  0.009226
    2791  0.256429  0.664201  0.009219
    2801  0.256388  0.664202  0.009212
    2811  0.256403  0.664204  0.009205
    2821  0.256431  0.664206  0.009197
    2831  0.256406  0.664208  0.009189
    2841  0.256396  0.664210  0.009180
    2851  0.256401  0.664212  0.009172
    2861  0.256398  0.664214  0.009163
    2871  0.256393  0.664216  0.009154
    2881  0.256430  0.664218  0.009145
    2891  0.256475  0.664220  0.009137
    2901  0.256517  0.664222  0.009129
    2911  0.256505  0.664224  0.009122
    2921  0.256526  0.664226  0.009115
    2931  0.256500  0.664227  0.009109
    2941  0.256480  0.664228  0.009103
    2951  0.256438  0.664230  0.009098
    2961  0.256449  0.664231  0.009093
    2971  0.256450  0.664232  0.009088
    2981  0.256453  0.664233  0.009083
    2991  0.256445  0.664234  0.009078
