#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.020848  0.414314  0.003480
     911  0.020783  0.414369  0.003474
     921  0.020792  0.414476  0.003468
     931  0.020762  0.414653  0.003460
     941  0.020772  0.414936  0.003452
     951  0.020849  0.415274  0.003444
     961  0.020770  0.415551  0.003435
     971  0.020870  0.416080  0.003425
     981  0.020878  0.416686  0.003414
     991  0.020938  0.417332  0.003405
     901  0.065271  0.524418  0.033139
     911  0.065038  0.524412  0.033026
     921  0.064798  0.524378  0.032907
     931  0.064347  0.524195  0.032805
     941  0.063957  0.523920  0.032709
     951  0.063785  0.523686  0.032598
     961  0.064058  0.523595  0.032488
     971  0.064270  0.523511  0.032401
     981  0.064424  0.523490  0.032315
     991  0.064757  0.523402  0.032252
    2701  0.331831  0.666323  0.002960
    2711  0.331841  0.666324  0.002956
    2721  0.331853  0.666324  0.002952
    2731  0.331864  0.666324  0.002949
    2741  0.331867  0.666325  0.002945
    2751  0.331874  0.666325  0.002941
    2761  0.331874  0.666326  0.002937
    2771  0.331877  0.666326  0.002933
    2781  0.331864  0.666327  0.002929
    2791  0.331872  0.666327  0.002924
    2801  0.331886  0.666328  0.002920
    2811  0.331873  0.666328  0.002916
    2821  0.331847  0.666329  0.002912
    2831  0.331823  0.666329  0.002909
    2841  0.331810  0.666330  0.002905
    2851  0.331799  0.666330  0.002902
    2861  0.331805  0.666330  0.002899
    2871  0.331793  0.666331  0.002897
    2881  0.331789  0.666331  0.002894
    2891  0.331784  0.666331  0.002892
    2901  0.331775  0.666331  0.002890
    2911  0.331782  0.666332  0.002888
    2921  0.331790  0.666332  0.002886
    2931  0.331786  0.666332  0.002885
    2941  0.331782  0.666332  0.002883
    2951  0.331791  0.666332  0.002882
    2961  0.331784  0.666332  0.002881
    2971  0.331774  0.666333  0.002880
    2981  0.331780  0.666333  0.002878
    2991  0.331784  0.666333  0.002877
