#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.021739  0.508856  0.002642
     911  0.021762  0.508441  0.002644
     921  0.021860  0.508036  0.002647
     931  0.021840  0.507716  0.002650
     941  0.021631  0.507163  0.002653
     951  0.021739  0.506733  0.002657
     961  0.021727  0.506392  0.002659
     971  0.021637  0.506037  0.002659
     981  0.021495  0.505608  0.002660
     991  0.021455  0.505228  0.002661
     901  0.065941  0.474575  0.043791
     911  0.066061  0.473534  0.043921
     921  0.066181  0.472542  0.044063
     931  0.066211  0.471765  0.044177
     941  0.066112  0.471124  0.044257
     951  0.065996  0.470596  0.044297
     961  0.065659  0.470032  0.044311
     971  0.065633  0.469592  0.044300
     981  0.065502  0.469205  0.044287
     991  0.065419  0.468885  0.044273
    2701  0.029054  0.486864  0.006242
    2711  0.029075  0.486818  0.006242
    2721  0.029052  0.486776  0.006242
    2731  0.029043  0.486744  0.006241
    2741  0.029090  0.486729  0.006240
    2751  0.029061  0.486698  0.006240
    2761  0.029046  0.486669  0.006240
    2771  0.029087  0.486625  0.006240
    2781  0.029113  0.486599  0.006239
    2791  0.029178  0.486597  0.006239
    2801  0.029145  0.486593  0.006239
    2811  0.029140  0.486603  0.006237
    2821  0.029092  0.486604  0.006236
    2831  0.029056  0.486596  0.006235
    2841  0.029056  0.486567  0.006234
    2851  0.029030  0.486534  0.006233
    2861  0.029025  0.486512  0.006232
    2871  0.028944  0.486467  0.006231
    2881  0.028943  0.486433  0.006231
    2891  0.028902  0.486394  0.006229
    2901  0.028869  0.486350  0.006228
    2911  0.028846  0.486305  0.006227
    2921  0.028881  0.486261  0.006226
    2931  0.028829  0.486211  0.006225
    2941  0.028815  0.486168  0.006224
    2951  0.028802  0.486126  0.006222
    2961  0.028903  0.486077  0.006222
    2971  0.028947  0.486048  0.006221
    2981  0.028906  0.486014  0.006220
    2991  0.028924  0.485976  0.006220
