#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.021488  0.462739  0.003181
     911  0.021424  0.462558  0.003177
     921  0.021330  0.462318  0.003174
     931  0.021155  0.461873  0.003172
     941  0.021212  0.459797  0.003179
     951  0.021067  0.457750  0.003185
     961  0.021349  0.455482  0.003198
     971  0.021408  0.453610  0.003209
     981  0.021379  0.451946  0.003218
     991  0.021351  0.450376  0.003228
     901  0.068142  0.510341  0.039982
     911  0.067925  0.509371  0.039916
     921  0.067894  0.508552  0.039840
     931  0.067722  0.507781  0.039765
     941  0.067559  0.507050  0.039697
     951  0.067117  0.506228  0.039661
     961  0.066530  0.505274  0.039646
     971  0.065920  0.504183  0.039652
     981  0.065391  0.503009  0.039672
     991  0.064869  0.501752  0.039697
    2701  0.025443  0.444740  0.005059
    2711  0.025464  0.444875  0.005057
    2721  0.025475  0.445021  0.005054
    2731  0.025459  0.445163  0.005051
    2741  0.025458  0.445312  0.005048
    2751  0.025453  0.445454  0.005045
    2761  0.025406  0.445580  0.005042
    2771  0.025414  0.445715  0.005039
    2781  0.025350  0.445820  0.005036
    2791  0.025309  0.445912  0.005033
    2801  0.025277  0.445997  0.005030
    2811  0.025178  0.446040  0.005027
    2821  0.025125  0.446065  0.005025
    2831  0.025095  0.446087  0.005022
    2841  0.025033  0.446088  0.005019
    2851  0.025027  0.446102  0.005016
    2861  0.025008  0.446118  0.005014
    2871  0.024990  0.446139  0.005010
    2881  0.024972  0.446160  0.005007
    2891  0.024989  0.446164  0.005005
    2901  0.024992  0.446183  0.005001
    2911  0.024942  0.446188  0.004999
    2921  0.024943  0.446202  0.004995
    2931  0.024951  0.446230  0.004992
    2941  0.024941  0.446264  0.004989
    2951  0.024930  0.446304  0.004985
    2961  0.024891  0.446335  0.004981
    2971  0.024872  0.446370  0.004977
    2981  0.024801  0.446381  0.004974
    2991  0.024748  0.446378  0.004971
