#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.022986  0.444605  0.003729
     911  0.022980  0.445535  0.003725
     921  0.023019  0.446545  0.003718
     931  0.022951  0.447440  0.003710
     941  0.022802  0.448095  0.003701
     951  0.022848  0.448777  0.003692
     961  0.022968  0.449629  0.003682
     971  0.022997  0.450483  0.003672
     981  0.022911  0.451238  0.003662
     991  0.022789  0.451834  0.003652
     901  0.061101  0.472732  0.041877
     911  0.061043  0.471051  0.041858
     921  0.060793  0.469525  0.041809
     931  0.060649  0.468205  0.041728
     941  0.060725  0.467219  0.041615
     951  0.060613  0.466389  0.041496
     961  0.060539  0.465709  0.041377
     971  0.060287  0.465042  0.041242
     981  0.060005  0.464363  0.041107
     991  0.059626  0.463629  0.040983
    2701  0.050517  0.431366  0.025637
    2711  0.050676  0.431329  0.025657
    2721  0.050859  0.431245  0.025686
    2731  0.050950  0.431189  0.025716
    2741  0.050859  0.431123  0.025745
    2751  0.050862  0.431075  0.025772
    2761  0.050899  0.431054  0.025796
    2771  0.050935  0.431027  0.025820
    2781  0.050954  0.431012  0.025843
    2791  0.050953  0.431003  0.025868
    2801  0.051052  0.430980  0.025896
    2811  0.051194  0.430973  0.025924
    2821  0.051287  0.430981  0.025952
    2831  0.051342  0.430991  0.025980
    2841  0.051320  0.431007  0.026005
    2851  0.051294  0.431028  0.026030
    2861  0.051293  0.431058  0.026052
    2871  0.051306  0.431099  0.026073
    2881  0.051317  0.431144  0.026093
    2891  0.051335  0.431207  0.026109
    2901  0.051303  0.431275  0.026122
    2911  0.051339  0.431364  0.026133
    2921  0.051450  0.431468  0.026144
    2931  0.051542  0.431591  0.026155
    2941  0.051685  0.431699  0.026169
    2951  0.051810  0.431786  0.026187
    2961  0.051893  0.431840  0.026208
    2971  0.051962  0.431895  0.026230
    2981  0.052010  0.431963  0.026251
    2991  0.051979  0.432033  0.026270
